Sl. No,Food Item,Recipe,Approximate Calorie per Serving
542,Duck Polao (Rajshahi),"To prepare Rajshahi-style Duck Polao, begin by cleaning a small whole duck (about 1–1.2 kg) and cutting it into pieces. Marinate the duck with 1 teaspoon turmeric, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, letting it rest for 15–20 minutes. Heat 4 tablespoons ghee or mustard oil in a heavy-bottomed pan, sauté 1 sliced onion until golden, then add the marinated duck and fry until lightly browned. Wash and soak 2 cups of aromatic rice such as basmati or kalijira for 20–30 minutes, drain, and add it to the pan with 4 cups of hot water. Cover and simmer on low heat for 20–25 minutes until the rice is tender and infused with the duck’s flavors. Garnish with fried onions or boiled eggs if desired, and serve hot.",500
543,Duck Polao (Tribal),"To prepare Tribal-style Duck Polao, begin by cleaning a small whole duck (about 1–1.2 kg) and cutting it into pieces. Marinate the duck with 1 teaspoon turmeric, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the seasoning simple and earthy, and let it rest for 15–20 minutes. Heat 4 tablespoons mustard oil in a heavy-bottomed pan, sauté 1 sliced onion until golden, then add the marinated duck and lightly fry until browned. Wash and soak 2 cups of aromatic rice such as kalijira for 20–30 minutes, drain, and add it to the pan along with 4 cups of hot water. Cover and simmer on low heat for 20–25 minutes until the rice is tender and infused with the duck’s flavors. Serve hot with plain rice or a light vegetable side for a traditional Tribal-style meal.",500
544,Duck Steamed (Dhaka),"To prepare Dhaka-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a light, aromatic marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the flavors mildly pungent as preferred in Dhaka cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Dhaka-style meal.",470
545,Duck Steamed (Hill Tracts),"To prepare Hill Tracts–style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a simple, earthy marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the flavors rustic as preferred in Hill Tracts cooking. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Hill Tracts-style meal.",470
546,Duck Steamed (Khulna),"To prepare Khulna-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a light, mildly pungent marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, reflecting the subtle mustard-forward flavors typical of Khulna cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Khulna-style meal.",470
547,Duck Steamed (Mymensingh),"To prepare Mymensingh-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a light, mildly spiced marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the flavors simple and earthy as preferred in Mymensingh cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until the duck is tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Mymensingh-style meal.",470
548,Duck Steamed (Rajshahi),"To prepare Rajshahi-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a light, mildly spiced marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the seasoning simple as preferred in Rajshahi cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until the duck is tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Rajshahi-style meal.",470
549,Duck Steamed (Rangpur),"To prepare Rangpur-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a simple, earthy marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, reflecting the light, rustic flavors preferred in Rangpur cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it in a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until tender, fully cooked, and aromatic. Serve hot with plain rice for a traditional Rangpur-style meal.",470
550,Duck Steamed (Sylhet),"To prepare Sylheti-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste, keeping the flavors mildly pungent as typical in Sylheti cuisine. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until the duck is tender, fully cooked, and infused with the aromatic spices. Serve hot with plain rice for a traditional Sylheti-style meal.",470
551,Duck Steamed (Tribal),"To prepare Tribal-style Duck Steamed, take a small whole duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a light marinade by mixing 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1 teaspoon red chili powder, 1-inch ginger paste, 2–3 crushed garlic cloves, and salt to taste. Rub the marinade evenly over the duck, including inside the cavity, and let it rest for 20–30 minutes. Place the duck in a heatproof dish, set it inside a steamer or a large covered pan with a little water at the bottom, and steam on medium heat for 50–60 minutes until the duck is tender, fully cooked, and infused with the aromatic flavors of the spices. Serve hot with plain rice for a traditional Tribal-style meal.",470
552,Duck Stuffed (Chattogram),"To prepare Chattogram-style Duck Stuffed, begin by taking a whole small duck (about 1–1.2 kg), clean it thoroughly, and pat dry. Prepare a stuffing by mixing ½ cup finely chopped onions, 2 tablespoons mustard oil, 1 teaspoon turmeric, 1 teaspoon red chili powder, 1 teaspoon ground cumin, 1 teaspoon garam masala, 2–3 crushed garlic cloves, 1-inch ginger paste, and salt to taste. Loosen the skin of the duck slightly and carefully stuff this mixture into the cavity, ensuring it is evenly distributed. Tie the legs with kitchen string to secure the stuffing. Heat 3–4 tablespoons mustard oil in a heavy-bottomed pan or Dutch oven, sear the duck on all sides until golden brown, then cover and cook on low heat for 45–50 minutes, occasionally basting with its own juices, until the duck is tender and the stuffing fully cooked. Serve hot with plain rice or traditional polao for a rich Chattogram-style meal.",500
553,Duck Stuffed (Dhaka),"To prepare Duck Stuffed (Dhaka style), begin by cleaning and gutting a medium-sized duck (about 1–1.2 kg). Prepare a stuffing with 1 small chopped onion, 2–3 chopped green chilies, 1 teaspoon ginger-garlic paste, 1 teaspoon turmeric, 1 teaspoon red chili powder, 2 tablespoons mustard paste, and salt to taste. Stuff the mixture into the duck cavity and secure with kitchen twine. Heat 3–4 tablespoons mustard or vegetable oil in a heavy-bottomed pan, sear the duck on all sides, then cover and cook on low heat for 45–50 minutes, turning occasionally until the duck is tender and fully cooked, and the stuffing is infused throughout. Serve hot with plain rice or paratha.",500
554,Duck Stuffed (Hill Tracts),"An authentic Hilly duck curry, inspired by the cuisine of the Chittagong Hill Tracts, uses indigenous ingredients and cooking methods to create a uniquely flavorful dish. To prepare it, take a cleaned and cut duck, and marinate it with a paste of ginger, garlic, turmeric powder, and a generous amount of dani morich (bird's eye chilies) from the hills. For the stuffing or filling, a blend of bamboo shoots, finely chopped onion, and nappi or sidol (fermented fish paste) is often used, which you would stuff into the duck pieces before cooking. In a pot, heat mustard oil and fry sliced onions until they soften, then add the marinated duck pieces and any remaining stuffing mixture. Sauté the duck well, adding a little water if needed to prevent the spices from burning. Once the duck is cooked and tender, a taaba style of preparation might involve adding a simple, watery broth to finish. Alternatively, for a richer bhuna style, continue to cook until the gravy thickens and the oil separates, a technique common in Bengali cooking. Finally, for an authentic touch, wrap the cooked duck pieces in banana leaves (hebaang) and briefly place them over hot coals to infuse a smoky aroma. This dish is usually served with plain rice. ",400
555,Duck Stuffed (Khulna),"To prepare Khulna-style Duck Stuffed, clean and cut 500 g duck meat into small pieces. Heat 1 tablespoon oil in a pan, add 1 teaspoon ginger paste, 1 teaspoon garlic paste, and 1/2 teaspoon turmeric powder, and lightly sauté. Add 1/2 cup chopped vegetables (carrot, eggplant, beans) and cook for 5 minutes while stirring. Stuff this mixture into the duck meat and place in a large pot or steamer, cover, and cook on medium heat for 25–30 minutes until the meat is tender. Serve hot with rice or bread.",570
556,Duck Stuffed (Mymensingh),"To prepare Mymensingh-style Duck Stuffed, clean and cut 500 g duck meat into small pieces. Heat 1 tablespoon oil in a pan, add 1 teaspoon ginger paste, 1 teaspoon garlic paste, and 1/2 teaspoon turmeric powder, and lightly sauté. Add 1/2 cup chopped vegetables (carrot, eggplant, beans) and cook for 5 minutes while stirring. Stuff this mixture into the duck meat and place in a large pot or steamer, cover, and cook on medium heat for 25–30 minutes until the meat is tender. Serve hot with rice or bread.",575
557,Duck Stuffed (Sylhet),"To prepare Sylhet-style Duck Stuffed, clean and cut 500 g duck meat into small pieces. Heat 1 tablespoon mustard oil in a pan, add 1 teaspoon ginger paste, 1 teaspoon garlic paste, and 1/2 teaspoon turmeric powder, and lightly sauté. Add 1/2 cup chopped vegetables such as carrot, eggplant, and beans, and cook for 5 minutes while stirring. Stuff this mixture into the duck meat and place in a large pot, cover, and cook on medium heat for 25–30 minutes until the meat is tender. Serve hot with rice or bread.",575
558,Duck Stuffed (Tribal),"To prepare Tribal-style Duck Stuffed, clean and cut 500 g duck meat into small pieces. Heat 1 tablespoon wild or mustard oil in a pan, add 1 teaspoon ginger paste, 1 teaspoon garlic paste, and 1/2 teaspoon turmeric powder, and lightly sauté. Add 1/2 cup chopped local vegetables (carrot, eggplant, beans, or chili) and cook for 5–7 minutes while stirring. Stuff this mixture into the duck meat, cover in a large pot or wrap in leaves, and steam on medium heat for 25–30 minutes until the meat is tender. Serve hot with rice or polao.",580
559,Duck Tok (Chattogram),"To prepare Chattogram-style Duck Tok, clean and cut 500 g duck meat into small pieces. Heat 3 tablespoons mustard oil in a pan, add 1 teaspoon ginger paste, 1 teaspoon garlic paste, and 1/2 teaspoon turmeric powder, and sauté lightly. Add 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Add the duck meat and cook on medium heat for 10–12 minutes, stirring occasionally. Then add 2 tablespoons yogurt, cover, and cook for another 5–7 minutes. Serve hot with lightly thickened gravy and tender meat alongside steamed rice or polao.",550
560,Duck Tok (Hill Tracts),"To prepare Duck Tok (Hill Tracts), begin by cleaning and cutting 500 grams of duck meat into medium pieces and boiling it with salt and enough water until the meat is tender, then drain and set aside. Heat 3 tablespoons of sesame oil or mustard oil in a pan, add 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, and sauté until fragrant. Add 2–3 chopped green chilies, ½ teaspoon of turmeric powder, 1 teaspoon of crushed dry red chili, and salt to taste, stirring well on low heat. Add the boiled duck pieces and bhuna them gently until the spices coat the meat and the oil slightly separates. Pour in 1–1½ tablespoons of lemon juice or fermented bamboo shoot water (traditional in Hill Tracts) to create the signature sour flavor, and simmer for a few minutes until the dish becomes semi-dry and aromatic. Finish with a handful of chopped coriander or local herbs and serve hot as a bold, tangy Hill Tracts delicacy.",320
561,Duck Tok (Mymensingh),"To prepare Duck Tok (Mymensingh), begin by cleaning and cutting 500 grams of duck meat into medium pieces and boiling it with salt and enough water until the meat is tender, then drain and keep aside. Heat 3 tablespoons of mustard oil in a pan, add 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, and sauté until aromatic. Add 2–3 slit green chilies, ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, and salt to taste, stirring well on low heat. Add the boiled duck pieces and bhuna them gently so the spices coat the meat evenly. Pour in 1–2 tablespoons of lemon juice or tamarind water to create the characteristic Mymensingh-style sourness, and simmer for a few minutes until the dish becomes semi-dry and flavorful. Finish with chopped coriander leaves and serve hot as a traditional tangy duck dish.",315
562,Duck Tok (Rajshahi),"To prepare Duck Tok (Rajshahi), start by cleaning and cutting 500 grams of duck meat into medium pieces and boiling it with salt and enough water until tender, then drain and set aside. Heat 3 tablespoons of mustard oil in a pan, add 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, and sauté until fragrant. Add 2–3 chopped green chilies, ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, ½ teaspoon of roasted cumin powder, and salt to taste, mixing well on low heat. Add the boiled duck pieces and bhuna them gently until the spices coat the meat and oil begins to separate. Pour in 1–2 tablespoons of tamarind water or sour plum (tok boroi) extract, a signature Rajshahi touch, and simmer briefly until the dish becomes semi-dry and tangy. Finish with chopped coriander leaves and serve hot as a bold, spicy, and sour Rajshahi-style delicacy.",325
563,Duck Tok (Sylhet),"To prepare Duck Tok (Sylhet), begin by cleaning and cutting 500 grams of duck meat into medium pieces and boiling it with salt and enough water until the meat is tender, then drain and set aside. Heat 3 tablespoons of mustard oil in a pan, add 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, and sauté until aromatic. Add 2–3 slit green chilies, ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, and salt to taste, stirring well on low heat. Add the boiled duck pieces and bhuna them gently so the spices coat the meat evenly. Pour in 1–2 tablespoons of lemon juice or shatkora juice (a signature Sylheti citrus), and simmer for a few minutes until the dish becomes semi-dry, tangy, and fragrant. Finish with chopped fresh coriander leaves and serve hot as a classic Sylheti sour duck delicacy.",320
564,Dudh Bhuna (Dhaka),"To prepare Dudh Bhuna (Dhaka), begin by heating 2 liters of full-cream milk in a heavy-bottomed pan and bringing it to a gentle boil, stirring occasionally to prevent sticking. Lower the heat and continue simmering, stirring frequently, until the milk reduces to about one-third of its original volume and becomes thick and creamy. Add ¾ cup of sugar (adjust to taste), 2–3 crushed green cardamom pods, and a small pinch of salt, stirring continuously so the milk does not burn. Cook on low heat until the mixture turns light golden and takes on a rich, bhuna-style texture with a slightly caramelized flavor. Finish by stirring in 1 tablespoon of ghee for aroma, then remove from heat and allow it to cool slightly before serving. This Dhaka-style Dudh Bhuna is rich, mildly sweet, and deeply aromatic, often enjoyed warm or chilled as a traditional dessert.",290
565,Dudh Bhuna (Hill Tracts),"To prepare Dudh Bhuna (Hill Tracts), begin by heating 2 liters of fresh full-cream milk in a heavy pan and bringing it to a slow boil, stirring regularly to prevent sticking. Reduce the heat and simmer gently until the milk reduces to about one-third and thickens noticeably. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 1–2 crushed cardamom pods, stirring continuously. Continue cooking on low heat until the milk takes on a slightly grainy texture and a light caramelized color, reflecting the traditional hill-style bhuna cooking. Finish by stirring in 1 tablespoon of sesame oil or ghee for a subtle nutty aroma, then remove from heat and allow it to cool slightly before serving. This Hill Tracts version is less sweet, richly concentrated, and deeply aromatic.",285
566,Dudh Bhuna (Mymensingh),"To prepare Dudh Bhuna (Mymensingh), begin by heating 2 liters of full-cream milk in a heavy-bottomed pan and bringing it to a gentle boil, stirring often so it does not stick. Lower the heat and simmer slowly, stirring continuously, until the milk reduces to about one-third of its original volume and becomes thick and creamy. Add ¾ cup of sugar (adjust to taste), a small pinch of salt, and 2–3 crushed green cardamom pods, mixing well. Continue cooking on low heat until the mixture develops a rich, slightly caramelized color and a bhuna-style texture. Finish by stirring in 1 tablespoon of ghee for aroma, then remove from heat and let it cool slightly before serving. This Mymensingh-style Dudh Bhuna is rich, mildly sweet, and traditionally enjoyed warm as a comforting dessert.",295
567,Dudh Bhuna (Rangpur),"To prepare Dudh Bhuna (Rangpur), begin by heating 2 liters of fresh full-cream milk in a heavy-bottomed pan and bringing it to a gentle boil, stirring frequently to prevent burning. Lower the heat and simmer slowly, stirring continuously, until the milk reduces to about one-third of its original volume and becomes thick and creamy. Add ½ cup of sugar (Rangpur style is slightly less sweet), a small pinch of salt, and 2 crushed green cardamom pods, mixing well. Continue cooking on low heat until the milk develops a lightly caramelized color and a rich bhuna texture with a deep aroma. Finish by stirring in 1 tablespoon of ghee for added richness, then remove from heat and allow it to cool slightly before serving. This Rangpur-style Dudh Bhuna is mildly sweet, dense, and traditionally enjoyed warm.",285
568,Dudh Dry (Barisal),"To prepare Dudh Dry (Barisal), start by heating 2 liters of full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking. Reduce the heat and simmer gently until the milk thickens and reduces to about one-third of its original volume. Add ½ cup of sugar (adjust to taste) and a pinch of salt, stirring continuously. Continue cooking on low heat until the milk becomes thick, slightly grainy, and completely dry, taking on a light golden color with a concentrated, caramelized flavor. Finish by stirring in 1 tablespoon of ghee for aroma, then remove from heat and allow it to cool slightly before serving. This Barisal-style Dudh Dry is dense, rich, and mildly sweet, perfect as a traditional dessert.",300
569,Dudh Dry (Rangpur),"To prepare Dudh Dry (Rangpur), start by heating 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent sticking. Reduce the heat and simmer gently until the milk thickens and reduces to about one-third of its original volume. Add ½ cup of sugar (slightly less for Rangpur style) and a pinch of salt, stirring continuously. Continue cooking on low heat until the milk becomes thick, slightly grainy, and almost dry, with a light golden color and concentrated flavor. Finish by stirring in 1 tablespoon of ghee for aroma, then remove from heat and let it cool slightly before serving. This Rangpur-style Dudh Dry is rich, dense, and mildly sweet, with a deeply caramelized taste.",295
570,Dudh Dry (Sylhet),"To prepare Dudh Dry (Sylhet), begin by heating 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent sticking. Reduce the heat and simmer slowly, stirring continuously, until the milk thickens and reduces to about one-third of its original volume. Add ½–¾ cup of sugar (adjust to taste) and a pinch of salt, mixing well. Continue cooking on low heat until the milk becomes thick, slightly grainy, and dry, taking on a light golden color and rich aroma. Finish by stirring in 1 tablespoon of ghee for extra flavor, then remove from heat and let it cool slightly before serving. This Sylheti-style Dudh Dry is dense, mildly sweet, and deeply flavorful, perfect as a traditional dessert.",300
571,Dudh Fry (Barisal),"To prepare Dudh Fry (Barisal), start by heating 2 liters of full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking or burning. Reduce the heat and simmer gently until the milk thickens slightly but still retains a pourable consistency. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, stirring well. Continue cooking on low heat until the milk achieves a creamy, lightly thickened texture with a mild caramelized aroma. Finish by stirring in 1 tablespoon of ghee for richness and flavor, then remove from heat. Serve warm as a traditional Barisal-style mildly sweet, creamy milk dessert.",280
572,Dudh Fry (Chattogram),"To prepare Dudh Fry (Chattogram), begin by heating 2 liters of full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking. Reduce the heat and simmer gently until the milk thickens slightly but remains pourable. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, mixing well. Continue cooking on low heat until the milk develops a creamy, lightly thickened texture with a subtle caramelized aroma. Finish by stirring in 1 tablespoon of ghee for richness and flavor, then remove from heat. Serve warm as a traditional Chattogram-style mildly sweet, creamy milk dessert.",280
573,Dudh Fry (Hill Tracts),"To prepare Dudh Fry (Hill Tracts), start by heating 2 liters of fresh full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking. Reduce the heat and simmer gently until the milk thickens slightly but remains pourable. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed cardamom pods, stirring well. Continue cooking on low heat until the milk develops a creamy, lightly thickened texture with a subtle nutty aroma, characteristic of the Hill Tracts style. Finish by stirring in 1 tablespoon of sesame oil or ghee for extra richness, then remove from heat. Serve warm as a mildly sweet, aromatic, and comforting Hill Tracts-style milk dessert.",285
574,Dudh Fry (Mymensingh),"To prepare Dudh Fry (Mymensingh), begin by heating 2 liters of full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking or burning. Reduce the heat and simmer gently until the milk thickens slightly but remains pourable. Add ½–¾ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, mixing well. Continue cooking on low heat until the milk develops a creamy, lightly thickened texture with a mild caramelized aroma. Finish by stirring in 1 tablespoon of ghee for richness and flavor, then remove from heat. Serve warm as a traditional Mymensingh-style mildly sweet, aromatic, and creamy milk dessert.",285
575,Dudh Fry (Rajshahi),"To prepare Dudh Fry (Rajshahi), start by heating 2 liters of full-cream milk in a heavy-bottomed pan over medium heat, stirring frequently to prevent sticking. Reduce the heat and simmer gently until the milk thickens slightly but remains pourable. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, stirring well. Continue cooking on low heat until the milk develops a creamy, lightly thickened texture with a subtle caramelized aroma, characteristic of Rajshahi-style milk desserts. Finish by stirring in 1 tablespoon of ghee for extra richness, then remove from heat. Serve warm as a mildly sweet, aromatic, and comforting Rajshahi-style milk dessert.",285
576,Dudh Fry (Rangpur),"To prepare traditional Rangpur-style Dudh Fry, start with 500 ml of fresh full-fat milk. Pour the milk into a heavy-bottomed pan and bring it to a boil over medium heat, stirring occasionally to prevent burning.

Once the milk starts boiling, reduce the heat to low and simmer until it thickens slightly. Add 2 tablespoons ghee or clarified butter, 4 tablespoons sugar (adjust to taste), ½ teaspoon cardamom powder, and a pinch of saffron strands (optional) for aroma and flavor. Continue stirring gently to avoid sticking.

For Rangpur-style richness, some cooks add a small handful of crushed nuts like almonds or cashews during the final 5 minutes of cooking. Simmer until the milk thickens to a creamy consistency suitable for serving as a dessert.

Serve warm or chilled in small bowls for an authentic Rangpur-style Dudh Fry experience.",230
577,Dudh Grilled (Barisal),"To prepare Dudh Grilled (Barisal), start by boiling 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent sticking. Reduce the heat and simmer until the milk thickens and reduces to about half its original volume. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, stirring well. Continue cooking on low heat until the mixture becomes dense, creamy, and slightly caramelized. Pour the thickened milk into a greased flat tray and spread it evenly, then allow it to cool and set slightly. Cut into square or rectangular pieces, lightly brush with ghee, and grill on a hot flat pan or grill until both sides develop a light golden crust. Serve warm or at room temperature as a rich, aromatic Barisal-style milk dessert.",310
578,Dudh Grilled (Chattogram),"To prepare Dudh Grilled (Chattogram), start by boiling 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent sticking. Reduce the heat and simmer until the milk thickens and reduces to about half its original volume. Add ½ cup of sugar (adjust to taste), a pinch of salt, and 2–3 crushed green cardamom pods, stirring well. Continue cooking on low heat until the milk becomes dense, creamy, and slightly caramelized. Pour the thickened milk into a greased flat tray and spread it evenly, then allow it to cool and set slightly. Cut into square or rectangular pieces, lightly brush with ghee, and grill on a hot flat pan or grill until both sides develop a light golden crust. Serve warm or at room temperature as a rich, aromatic Chattogram-style milk dessert.",310
579,Dudh Grilled (Dhaka),"To prepare Dudh Grilled (Dhaka), start by boiling 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent sticking. Reduce the heat and simmer until the milk thickens and reduces to about half its original volume. Add ½–¾ cup of sugar (to taste), 2–3 crushed green cardamom pods, and a small pinch of salt, and continue cooking on low heat until the mixture becomes dense, smooth, and slightly glossy. Pour the thickened milk into a greased flat tray, spread it evenly, and allow it to cool and set completely. Cut into square or rectangular pieces, lightly brush with ghee, and grill on a hot flat pan or grill until both sides develop a light golden crust. Serve warm or at room temperature as a rich, mildly sweet Dhaka-style milk dessert with a caramelized exterior and soft interior.",310
580,Dudh Grilled (Rangpur),"To prepare Dudh Grilled (Rangpur), start by boiling 2 liters of full-cream milk in a heavy-bottomed pan, stirring frequently to prevent burning. Reduce the heat and simmer until the milk thickens and reduces to about half its volume. Add ½ cup of sugar (adjust to taste), 2 crushed green cardamom pods, and a small pinch of salt, and continue cooking on low heat until the mixture becomes dense and creamy. Pour the thickened milk into a greased flat tray and spread it evenly, then allow it to cool and set slightly. Cut into square or rectangular portions, brush lightly with ghee, and grill on a hot flat pan or grill until both sides develop a light golden crust. Serve warm or at room temperature as a rustic Rangpur-style milk delicacy with a caramelized exterior and soft interior.",305
581,Dudh Jhol (Barisal),"To prepare Barisal-style Dudh Jhol, heat 500 ml milk thoroughly. In a pan, heat 1 tablespoon oil or ghee, add 1 teaspoon ginger paste and 1 teaspoon garlic paste, and lightly sauté. Add 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin powder, and salt to taste. Gradually pour the hot milk into the pan while stirring to prevent it from burning. Cook on medium heat for 5–7 minutes. Finish with a drizzle of ghee and chopped coriander leaves, and serve hot with rice or bread.",255
582,Dudh Jhol (Chattogram),"To prepare Chattogram-style Dudh Jhol, heat 500 ml milk thoroughly on the stove. In a pan, heat 1 tablespoon oil, add 1 teaspoon ginger paste and 1 teaspoon garlic paste, and lightly sauté. Add 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin powder, and salt to taste. Gradually pour the hot milk into the pan, stirring continuously to prevent burning. Cook on medium heat for 5–7 minutes. Optionally, drizzle a little ghee and garnish with chopped coriander leaves, and serve hot.",250
583,Dudh Jhol (Khulna),"To prepare Khulna-style Dudh Jhol, take 500 ml milk, 1 tablespoon yogurt, and 1 teaspoon turmeric powder in a pan and heat on medium flame. Add 1 teaspoon ginger paste and 1 teaspoon garlic paste and mix well. Stir in 1 teaspoon red chili powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, and salt to taste. Cook gently for 5–7 minutes while stirring continuously until the milk thickens and the spices are well incorporated. Garnish with chopped coriander leaves and serve hot.",275
584,Dudh Khichuri (Mymensingh),"To prepare Dudh Khichuri (Mymensingh), start by washing 1 cup of rice and ½ cup of moong dal (split yellow lentils) thoroughly and soaking them for 15–20 minutes. Drain well. In a heavy-bottomed pan, heat 2 tablespoons of ghee or mustard oil and add 1 teaspoon of cumin seeds, 1 bay leaf, and 2–3 slit green chilies, sautéing until aromatic. Add 1 teaspoon of ginger paste, 1 teaspoon of garlic paste, ½ teaspoon of turmeric powder, and a pinch of salt. Stir in the drained rice and lentils, coating them evenly with the spices. Pour in 3 cups of milk and 1 cup of water, bring to a gentle boil, then reduce the heat and simmer, covered, until the rice and dal are fully cooked and the mixture becomes creamy. Finish by adding 1 tablespoon of ghee and garnish with chopped coriander leaves. Serve hot as a comforting, mildly sweet, and aromatic Mymensingh-style milk khichuri.",320
